date,dailyconfirmed,totalconfirmed,dailyrecovered,totalrecovered,dailydeceased,totaldeceased
30 January ,1,1,0,0,0,0
31 January ,0,1,0,0,0,0
01 February ,0,1,0,0,0,0
02 February ,1,2,0,0,0,0
03 February ,1,3,0,0,0,0
04 February ,0,3,0,0,0,0
05 February ,0,3,0,0,0,0
06 February ,0,3,0,0,0,0
07 February ,0,3,0,0,0,0
08 February ,0,3,0,0,0,0
09 February ,0,3,0,0,0,0
10 February ,0,3,0,0,0,0
11 February ,0,3,0,0,0,0
12 February ,0,3,0,0,0,0
13 February ,0,3,1,1,0,0
14 February ,0,3,0,1,0,0
15 February ,0,3,0,1,0,0
16 February ,0,3,1,2,0,0
17 February ,0,3,0,2,0,0
18 February ,0,3,0,2,0,0
19 February ,0,3,0,2,0,0
20 February ,0,3,1,3,0,0
21 February ,0,3,0,3,0,0
22 February ,0,3,0,3,0,0
23 February ,0,3,0,3,0,0
24 February ,0,3,0,3,0,0
25 February ,0,3,0,3,0,0
26 February ,0,3,0,3,0,0
27 February ,0,3,0,3,0,0
28 February ,0,3,0,3,0,0
29 February ,0,3,0,3,0,0
01 March ,0,3,0,3,0,0
02 March ,2,5,0,3,0,0
03 March ,1,6,0,3,0,0
04 March ,22,28,0,3,0,0
05 March ,2,30,0,3,0,0
06 March ,1,31,0,3,0,0
07 March ,3,34,0,3,0,0
08 March ,5,39,0,3,0,0
09 March ,9,48,0,3,0,0
10 March ,15,63,1,4,0,0
11 March ,7,70,0,4,0,0
12 March ,12,82,0,4,1,1
13 March ,9,91,6,10,0,1
14 March ,16,107,0,10,1,2
15 March ,6,113,3,13,0,2
16 March ,14,127,1,14,0,2
17 March ,19,146,1,15,1,3
18 March ,25,171,0,15,0,3
19 March ,28,199,5,20,1,4
20 March ,59,258,3,23,0,4
21 March ,,,,,,
